,data_jogo,liga,temporada,local,id_time_casa,time_casa,id_time_fora,time_fora,gols_casa,gols_fora,empate,vitoria_casa,vitoria_fora
0,2005-08-05 20:30:00,1. Fussball-Bundesliga 2005/2006,2005,München,40,FC Bayern München,87,Borussia Mönchengladbach,3,0,0.0,1.0,0.0
1,2005-08-06 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Köln,65,1. FC Köln,81,1. FSV Mainz 05,1,0,0.0,1.0,0.0
2,2005-08-06 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Duisburg,107,MSV Duisburg,16,VfB Stuttgart,1,1,1.0,0.0,0.0
3,2005-08-06 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Hamburg,100,Hamburger SV,79,1. FC Nürnberg,3,0,0.0,1.0,0.0
4,2005-08-06 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Wolfsburg,131,VfL Wolfsburg,7,Borussia Dortmund,2,2,1.0,0.0,0.0
5,2005-08-06 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Bremen,134,Werder Bremen,83,Arminia Bielefeld,5,2,0.0,1.0,0.0
6,2005-08-06 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Hannover,55,Hannover 96,54,Hertha BSC,2,2,1.0,0.0,0.0
7,2005-08-07 17:30:00,1. Fussball-Bundesliga 2005/2006,2005,Gelsenkirchen,9,FC Schalke 04,76,1. FC Kaiserslautern,2,1,0.0,1.0,0.0
8,2005-08-07 17:30:00,1. Fussball-Bundesliga 2005/2006,2005,Frankfurt,91,Eintracht Frankfurt,6,Bayer Leverkusen,1,4,0.0,0.0,1.0
9,2005-08-13 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Leverkusen,6,Bayer Leverkusen,40,FC Bayern München,2,5,0.0,0.0,1.0
10,2005-08-13 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Gladbach,87,Borussia Mönchengladbach,131,VfL Wolfsburg,1,1,1.0,0.0,0.0
11,2005-08-13 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Dortmund,7,Borussia Dortmund,9,FC Schalke 04,1,2,0.0,0.0,1.0
12,2005-08-13 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Berlin,54,Hertha BSC,91,Eintracht Frankfurt,2,0,0.0,1.0,0.0
13,2005-08-13 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Kaiserslautern,76,1. FC Kaiserslautern,107,MSV Duisburg,5,3,0.0,1.0,0.0
14,2005-08-13 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Nürnberg,79,1. FC Nürnberg,55,Hannover 96,1,1,1.0,0.0,0.0
15,2005-08-13 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Bielefeld,83,Arminia Bielefeld,100,Hamburger SV,0,2,0.0,0.0,1.0
16,2005-08-14 17:30:00,1. Fussball-Bundesliga 2005/2006,2005,Stuttgart,16,VfB Stuttgart,65,1. FC Köln,2,3,0.0,0.0,1.0
17,2005-08-14 17:30:00,1. Fussball-Bundesliga 2005/2006,2005,Mainz,81,1. FSV Mainz 05,134,Werder Bremen,0,2,0.0,0.0,1.0
18,2005-08-27 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Köln,65,1. FC Köln,76,1. FC Kaiserslautern,2,3,0.0,0.0,1.0
19,2005-08-27 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Gelsenkirchen,9,FC Schalke 04,87,Borussia Mönchengladbach,1,1,1.0,0.0,0.0
20,2005-08-27 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Hamburg,100,Hamburger SV,55,Hannover 96,1,1,1.0,0.0,0.0
21,2005-08-27 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Wolfsburg,131,VfL Wolfsburg,6,Bayer Leverkusen,2,1,0.0,1.0,0.0
22,2005-08-27 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Bremen,134,Werder Bremen,16,VfB Stuttgart,1,1,1.0,0.0,0.0
23,2005-08-27 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,München,40,FC Bayern München,54,Hertha BSC,3,0,0.0,1.0,0.0
24,2005-08-27 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Frankfurt,91,Eintracht Frankfurt,79,1. FC Nürnberg,1,0,0.0,1.0,0.0
25,2005-08-28 17:30:00,1. Fussball-Bundesliga 2005/2006,2005,Duisburg,107,MSV Duisburg,7,Borussia Dortmund,1,1,1.0,0.0,0.0
26,2005-08-28 17:30:00,1. Fussball-Bundesliga 2005/2006,2005,Bielefeld,83,Arminia Bielefeld,81,1. FSV Mainz 05,2,0,0.0,1.0,0.0
27,2005-09-10 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Leverkusen,6,Bayer Leverkusen,9,FC Schalke 04,1,1,1.0,0.0,0.0
28,2005-09-10 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Gladbach,87,Borussia Mönchengladbach,107,MSV Duisburg,2,1,0.0,1.0,0.0
29,2005-09-10 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Kaiserslautern,76,1. FC Kaiserslautern,134,Werder Bremen,1,5,0.0,0.0,1.0
30,2005-09-10 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Nürnberg,79,1. FC Nürnberg,40,FC Bayern München,1,2,0.0,0.0,1.0
31,2005-09-10 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Stuttgart,16,VfB Stuttgart,83,Arminia Bielefeld,1,1,1.0,0.0,0.0
32,2005-09-10 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Mainz,81,1. FSV Mainz 05,100,Hamburger SV,1,3,0.0,0.0,1.0
33,2005-09-10 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Hannover,55,Hannover 96,91,Eintracht Frankfurt,2,0,0.0,1.0,0.0
34,2005-09-11 17:30:00,1. Fussball-Bundesliga 2005/2006,2005,Dortmund,7,Borussia Dortmund,65,1. FC Köln,2,1,0.0,1.0,0.0
35,2005-09-11 17:30:00,1. Fussball-Bundesliga 2005/2006,2005,Berlin,54,Hertha BSC,131,VfL Wolfsburg,3,0,0.0,1.0,0.0
36,2005-09-17 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Köln,65,1. FC Köln,87,Borussia Mönchengladbach,2,1,0.0,1.0,0.0
37,2005-09-17 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Hamburg,100,Hamburger SV,91,Eintracht Frankfurt,1,1,1.0,0.0,0.0
38,2005-09-17 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Wolfsburg,131,VfL Wolfsburg,79,1. FC Nürnberg,1,1,1.0,0.0,0.0
39,2005-09-17 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Bremen,134,Werder Bremen,7,Borussia Dortmund,3,2,0.0,1.0,0.0
40,2005-09-17 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,München,40,FC Bayern München,55,Hannover 96,1,0,0.0,1.0,0.0
41,2005-09-17 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Mainz,81,1. FSV Mainz 05,16,VfB Stuttgart,1,2,0.0,0.0,1.0
42,2005-09-17 15:30:00,1. Fussball-Bundesliga 2005/2006,2005,Bielefeld,83,Arminia Bielefeld,76,1. FC Kaiserslautern,0,0,1.0,0.0,0.0
43,2005-09-18 17:30:00,1. Fussball-Bundesliga 2005/2006,2005,Duisburg,107,MSV Duisburg,6,Bayer Leverkusen,1,3,0.0,0.0,1.0
44,2005-09-18 17:30:00,1. Fussball-Bundesliga 2005/2006,2005,Gelsenkirchen,9,FC Schalke 04,54,Hertha BSC,0,0,1.0,0.0,0.0
45,2005-09-20 20:00:00,1. Fussball-Bundesliga 2005/2006,2005,Gladbach,87,Borussia Mönchengladbach,134,Werder Bremen,2,1,0.0,1.0,0.0
46,2005-09-20 20:00:00,1. Fussball-Bundesliga 2005/2006,2005,Dortmund,7,Borussia Dortmund,83,Arminia Bielefeld,2,0,0.0,1.0,0.0
47,2005-09-20 20:00:00,1. Fussball-Bundesliga 2005/2006,2005,Frankfurt,91,Eintracht Frankfurt,40,FC Bayern München,0,1,0.0,0.0,1.0
48,2005-09-20 20:00:00,1. Fussball-Bundesliga 2005/2006,2005,Hannover,55,Hannover 96,131,VfL Wolfsburg,2,4,0.0,0.0,1.0
49,2005-09-21 20:00:00,1. Fussball-Bundesliga 2005/2006,2005,Leverkusen,6,Bayer Leverkusen,65,1. FC Köln,2,1,0.0,1.0,0.0
50,2005-09-21 20:00:00,1. Fussball-Bundesliga 2005/2006,2005,Berlin,54,Hertha BSC,107,MSV Duisburg,3,2,0.0,1.0,0.0
51,2005-09-21 20:00:00,1. Fussball-Bundesliga 2005/2006,2005,Kaiserslautern,76,1. FC Kaiserslautern,81,1. FSV Mainz 05,0,2,0.0,0.0,1.0
52,2005-09-21 20:00:00,1. Fussball-Bundesliga 2005/2006,2005,Nürnberg,79,1. FC Nürnberg,9,FC Schalke 04,1,1,1.0,0.0,0.0
53,2005-09-21 20:00:00,1. Fussball-Bundesliga 2005/2006,2005,Stuttgart,16,VfB Stuttgart,100,Hamburger SV,1,2,0.0,0.0,1.0
